reviews.text,cluster_label
overall this is a good tablet it is best with those who have Prime Amazon and the ability to watch Amazon video a good price for a good tablet but has limitations based on the operating system for video watching and basic use a good choice,
I love the size and portability of this Keeps me in touch and having fun,Smart Speakers
Nice tablet and couldnt beat the Black Friday price,
Im sorry I didnt buy it sooner Very easy to use Love it,Smart Speakers
Good tablet for basic needs Screens resolution is pretty good Mostly using for reading and sometimes for watching moviesshows Great feature is the possibility to use the card to expand the memory Good product for great price,
Bought as a gift for my  yr old mom to stalk her kids and grandkids on FB She mastered it in a fewminutes with minimal instruction Now I have to watch my posts,Smart Speakers
For a cheaper price this does more than my kindle love having this tablet,
Had a smaller version Love the bigger screen Use this product more than a computer,Smart Speakers
I bought  of the kindles for my grandsons They love them Had them charged and set up right away No issues at this point,Smart Speakers
Great  inches tablet with and amazing storage for apps,
Santa dropped this off for our th grader along with expanded memory he uses it for Netflix and Youtube as well as Minecraft and other Apps Why spend hundreds on something for basic kids needs Im sure this will last him a few years and is well worth the price,Smart Speakers
Got this tablet for my  year old son and he can not put it down It is so much to do So many learning games I love this product,
This is a good device for entertainment and entry level tasks I think it can do a lot for the price,Smart Speakers
also great for listening to music and also for movies,
The screen picture is crisp and bright I will use this tablet for many things,
small and powerful great adult toy for a reader,
I was hoping to use Google launcher with this tablet but it is really locked down and you cannot change the launcher or the lock screen Still cheap and fine for watching movies,
Screen is very clear and battery last a long time Very good substitute if you can afford a iPad,Smart Speakers
A Great value for the money you can save instead of a Ipad from Apple,
Fun and reliable Good quality for the money Easy to use,
I got this tablet on sale for my wife and she loves it,
So far so good with the kindle fire hd still need to play with it to see how to maximize our use,Smart Speakers
We bought this for our three daughters Got a kid proof case and added free time for a low monthly fee and couldnt be happier So much better than worrying about them breaking my phone or iPad,Smart Speakers
Bought one to replace the smaller non HD version Lot faster and picture is noticeably better Would recommend for anyone not wanting to spend the extra  or so on the big names,Smart Speakers
It was a perfect gift for my godson He loved it Definitely would recommend this product,Smart Speakers
I can do a lot of things on my Kindle I used to rely on the computer for,Smart Speakers
Excellent resource for children video streaming by Wifi using mobile hotspot with kids,Smart Speakers
best choice under  in marketamazon is the best,Smart Speakers
I really didnt expect how its going to workbut its very goodgifted to my friend,Smart Speakers
Bought this as a gift for my mom and this was to replace her original Kindle Fire Shes have had a month now and is loving and no problems with it,Smart Speakers
This was a request from our  yr old granddaugter who had always asked her older sister if she could share hers due to we bought this same tabletsize a few yrs earlier Loved the securityparental control optionsStarfall a favorite educational app were told is a must have Really enjoy PicsViber due to their in a different state Also some games on a time limit Size and resolution are perfect,Smart Speakers
Works well Easy to use Battery seems to be good Would buy again,
Ticks all the boxes I was looking for at a price I was happy to pay One caveat that I or the Best Buy and Geek Squad crews was unaware of there is a glitch in the keyboard that prevents it from working properly KindleAmazon are aware of the glitch and will download a thirdparty keyboard fix to replace the keyboard thats built in to the unit until they are able to fix the problem I made Geek Squad aware of it and they should know about it now,Smart Speakers
Amazon MayDay functionality is not available and this was unexpected Other services and functionality as expected,Smart Speakers
Perfect tablet to take anywhere you go and lighter than my IPad,
Easy to use tablet for every day use Additional apps can help increase productivity for work and daily use,
This tablet does all I need a tablet to do Reason why its my rd one,
Bought as a gift for parents who arent tech savy but were able to use it with ease,Smart Speakers
Great gift for a younger person who wants a tablet,
The fire is great The size is really nice Not to big The clarity is really good,
This inexpensive tablet does everything I want it to do I can read my books and magazines and keeps tabs on my kids and grandkids on Facebook Very easy to use and crystal clear pictures and video,
This tablet is great I loved the color and all the features it has I will be buying more for my daughters Great purchase,E-Book Readers
Its a excellent tablet for my kid she downloaded games and watch cartoons,
I was looking for a Good tablet under this deliveredgetting used to Amazon apps LOL,
Excellent ratio quality price Lightweight Good resolution and easy to use,
After long review decided to buy the Fire Tablet as a gift for a great frienday She loves it Its the perfect size and has all the features she was looking for in a tablet Happy Birthday,
Love everything about my Kindle Im a longterm Amazon Prime member,Smart Speakers
Great tablet for the price My father in law likes the easy use of the tablet,E-Book Readers
The Fire is an excellent table for many basic tasks,Smart Speakers
Not a good product short battery life i can only use for  minutes,
I enjoy to use the reader and like the idea that I can go to the internet from the Kindle,Smart Speakers
I thought that this tablet was junk but it has surpassed my expectations,
Good if you want something inexpensive and Will do the minimum very well,Smart Speakers
I found it to be very versatile and enjoyable benefiting from a touch screen,Smart Speakers
Ipad killer A fierce tablet at a convinient price,
bought as a gift she loves it all kinds of apps easy to use and even easyer with amazon prime,Smart Speakers
I bought it as the display for my Echo Turning on Voicecast routes information to the tablet with the voice reaponse ItS been exactly what I hoped it would be and the price was right,
I bought this as a gift for my son and I know he will love it he has the old kindle fire as likes it a lot,Smart Speakers
Works great and is fast Great for reading and internet use,E-Book Readers
I am loving my fire tablet and I am using it everyday at home and at work on break,
I will be ordering Amazon fire for my two granddaughters because they love Nanas so much,Smart Speakers
Really beautiful display is great for watching movies and playing games It is very powerful for the price and you can play lots of games from Amazon for free  they even remove microtransactions from lots of gamesOnly downside is you need Amazon Prime to get the most out of your tablet,
Graphics are great for the price Would highly recommend,
The pad worked as I thought but the screen wasnt as vibrant as our iPads Still a great deal for the price,
Perfect thing I needed to read books on and play my games,Smart Speakers
this tablet is perfect for surfing the internet and following social media,
For its price Amongst the others I felt this was a deal,Smart Speakers
Perfect size and very responsive I have  of them,Smart Speakers
It is very easy to use for children  We have loved having one and are hoping to buy another one for kids Christmas ,Smart Speakers
good price for the product I purchased for my middle school son,
Think this will be a great product for my parents it is a Christmas gift,
Easy to use as a tablet and easy to use as a ebook reader,
Tablet is working good for what we wanted it to do,
This tablet is a good one for everyday use It is small but it has a clear image Not sure if I really wanted one this small but its ok for now,
I like the portability of it I take it with me when I babysit my granddaughter,Smart Speakers
bought as a gift she loves it great with amazon prime,
Had the previous version of this tablet and was looking to upgrade Got this on sale and am very pleased,
My daughter love this tablet Easy to use and carry,
The salesman was very good pointed us in the right direction The tablets are perfect for our triplet grandsons,Smart Speakers
Excellent value for the price Super easy to use and set up Wonderful display I love the fact that you can add an sd card for more memory unlike the old Kindles Plus Im really impressed with the fact the Amazon has such great offers,
I love this tablet Excellent quality speakers and screen Lots of storage space Worth the money,
Bought it for my husband and he loves it This is perfect for what he wanted it for,Smart Speakers
Very fast and super easy to use Im very pleased with this purchase,Smart Speakers
Its works really well and dont have any issues at all,Smart Speakers
Tablet is good for beginners and those that like to read,
The Kindle Fire has great features for the price The video quality is asstounding,
If you want a tablet to use on a daily basis for facebook or do online purchases you couldnt ask for a better tablet,
I bought this to replace a Samsung Galaxy Tab  I absolutely love the Kindle HD  It was easy to set up and very easy to find my way around The only reason I took off  star is that I have found some apps are not available for Kindle But so far from info I have read online there are ways to resolve this issue,Smart Speakers
Just a simple kindle Doesnt have the glass back,Smart Speakers
Throughly enjoying my fire tablet Can play games and read books Am very pleased with it,
Much harder to work than an android None of the wallpaper apps I downloaded from the kindle store work on the device many of the other apps look cheap on the display other wise it is prettier and more responsive than the cheaper  tablet They make it look like an android tablet but it is not no google play Everything is just harder to work than on a regular android BUT for a tablet under  it exceeds expectations It is more responsive than other models of fire,
Kindle Fire is a dream Larger screen easy to read,Smart Speakers
I HAVE BEEN WITH AMAZON PRIME FOR  YEARS AND THIS NEW FIRE HD MAKES IT WORTH IT i WATCH MOVIES WHEN I FLY BECAUSE I CAN DOWNLOAD THEM THE BATTERY LAST FOR DAYS I USE IT EVERYDAY NOW,Smart Speakers
Improved over the HD  Things set up differently but not hard to learn Also a bit heavier than the  so reading in bed a little harder,Smart Speakers
Ive purchased a number of Kindle Fire products for family over the past several years and continue to use them Easy to use for even my youngest Grandchildren or my  year old MotherInLaw which they use as a reader and for games An overall good value,Smart Speakers
This is the fastest booting tablet I have come across The speed at which I can access sites is really amazing,
great product at a great pricei like the builtin filter which is easy on youreyesprobably the best reader under  dollars,
Very good product Super quality and the Best Buy store rep explained me about the product,
This is my third Kindle Fire and it improves each time Colors are crisper and best of all it stays charged a lot longer,Smart Speakers
Excellent Just as good as iPad with a fraction of the price,
I really love the new shape and size of the kindle HD My daughter uses it and can control it great,
Love my tablet easy to work and have no problem with down loadsand lite weight,
I love this Kindle I love the fact that you can use an SD card for more storage Great job,
The device is priced just right to give as a gift for an  year old,Smart Speakers
We have had a hard time with tablets and our  year old who has been down loading apps since she was around  years of age so far this tablet has survived everything except the constant draining of battery when used by her ,
Cant beat the value on this  stars even though it has less apps than the play store,Smart Speakers
My only disappointment is the inability to download some of the apps I use in my phone,Smart Speakers
Great price of  dollars on a great tablet It is very fast at everything accept game play For example it plays asphalt  and the game is just barely playable The graphics struggle on this tablet with higher graphic games Also it is a Amazon tablet with no Google play store but you can load Google play on to it There are great you tube videos on how to put Google play on a amazon tablet The screen is good as long as the sun isnt hitting it The stereo speakers sound great and loud All in all I really liked the tablet for the price but I really like to play games with good graphic quality So that being said I did return this tablet and ordered the Nvidia Shield  inch tablet through Best Buy for  dollars I got the Shield a week ago and WOW What a difference in graphic gaming quality This thing is just as good as an Xbox or ps The Nvidia Shield tablet is simply unbelievable for the price of  considering the Apple or Samsung tablets that are as fast as this tablet are at least twice the cost Plus this dubbles as a gaming console for xbox or pc games with k out to you tv The Amazon tablet is also a great tablet for normal usage but if your a gamer like me the Nvidia tablet is the tablet of choice hands down period I dont know why bbuy kind of hides the Nvidia tab only on their website and doesnt sell it in the store If they displayed it in the store This would outsell the Apple or Samsung tablets I hope this helps thanks,E-Book Readers
I find this fire much lighter and very easy to use,Smart Speakers
Does great on browsing and doing research easy to use and love the features especially the private browsing a great price as well,
Great little tablet for a great price I keep it at work for listening to music or some lunchtime reading,E-Book Readers
Wanted to travel without my laptop Found the Fire to be perfect Used it mainly for checking email and keeping up with Facebook posts of friends Found the size of screen to be easy to read Typing a tad uncomfortable until one has some experience using it Have yet to use as an ereader,Smart Speakers
great tablet to replace kindle Love the features,E-Book Readers
This is a great tablet for my teen She loves it and the price cant be beat,E-Book Readers
The kindle is great to read on I also like that you can play some games,
I love the amazon tablet very much and love to use,
its good performance and highly recommended to amazon users,Smart Speakers
Easy to read Light in weight Has many good features,Smart Speakers
The new Fire HD  is an improvement over the Fire HD  It is faster and the larger screen makes reading books much easier I do wish the screen was easier to read when outside or in the car Too much glare in those places,Smart Speakers
Love it Im not computer savy but was able to figure out most things without any help,Smart Speakers
Mother needed something since her tablet had died Was lot easier for her to learn than her old table She does lots more with Kindle than she did with tablet,
Light to carry and good picture quality This was purchased for a hearing impaired person to download video in American Sign Language  This product was easy to maneuver for someone that was not use to a tablet,
I love this tablet I purchased them for gift and am so glad I did,
I purchased it for my dad He needed something easy to use He really enjoys it,Smart Speakers
i have had not issues with my purchase i found a great cover for it on line on amazon and use it every night thank you for your service,
I went from the  inch Kindle to the  and it really made a difference Easier to read and clearer than my old one,Smart Speakers
Nice upgrade from my old kindle I like it very much,Smart Speakers
t is cheap tablet option coming from amazon Latest model will satisfy your needs,
I like it but I had a hard time figuring things outDo I get to talk to geek squad free Can I come down to the store and get someone to help me with my questionsWill there be a fee for that service,Smart Speakers
Very happy with my kindle Would buy it for my kids,Smart Speakers
This is not a bad product Amazon offers greats products but this tablet was missing features even for a basic tablet The lack of google chrome compatibility made this tablet not right for me,
Good tablet bad wifi connection,
Husband loves the  tablet The screen is big enough to view what he is reading,
For first tablet I am pleased An amazon name is good value,
Excellent price point for my basic requirements It has all the features I need for comfortable reading of online novels and articles,Smart Speakers
This is a good product for the price Many more things can be done with this fire  than we dreamed about,
Easy access to my Amazon account Easy to set up and use,
Does everything I needed and moreI use it as a travel companion and the size is great,
Its so perfect for my niece  she loves it Going to get another one for my son,Smart Speakers
the performance is so much faster than my old one and the graphics are much better too,Smart Speakers
Love my kindle it does everything I wanted I to do,Smart Speakers
As expected I am very happy with this This serves the purpose,Smart Speakers
Handy to use and size is good Its light weight and thats important,Smart Speakers
I got this for my husband birthday and he loves it,Smart Speakers
This kindle is great Battery lasts much longer than old kindle,
I bought the Fire HD   CaseI use it mostly for classworks very goodwould be better if it had BlueTooth,Smart Speakers
We have several kindles and this is the latest version Its packed with Amazon marketing stuff which is fine if you use them but most just take up space for us This new version comes with gb but allows you to expand the memory with an sd card which is great One problem if you have a few other kindles is that they are linked to your account so if they are for different family memberskids they may end up with the same stuff on them My kids mainly use them for game apps and YouTube videos which am seem to work great The sound is good and the hd video is nice Overall happy with it and the price was good for this type of tablet,
I went into Best But to buy another reader but ended up buying a Fire  good value and has the things I need in a reader,Smart Speakers
Got the tablet for my grandson hes happy with it and use it as we speak,
We bought this earlier on line from another vendor and it was never delivered Best Buy was great,
Great buy Bought it for my  year old niece She loves it,
The Kindle Fire HD has a larger screen  vs  and images are crisper with more vibrant colors,Smart Speakers
Just lock the card out and let the kids go crazy,Smart Speakers
This is an awesome tablet perfectly for watch tv for my little nephew,
My kids enjoy reading books and playing games on the fire tablet,
Im so glad i brought this because it is very handy and easy to use too Everything about it is good and I really like it,Smart Speakers
Easy to follow directions allowed her to set it up with me watching over her shoulder,Smart Speakers
I purchased this tablet for my Autistic child He loves it,
Ive enjoyed using my Fire HD tablet to play games,
I use it for downloading and reading books It is the perfect size for this purpose It is also very light,Smart Speakers
Bought for wife who is not into the techie word She likes it  suggest buying a protective screen and padded case for it,Smart Speakers
My wife wanted an iPad I bought her this because it was cheaper and good for reading and playing games She uses iOS products so its not compatible She hardly ever uses it Next time Ill get what she wants and not waste my money,Smart Speakers
Much better screen resolution than my  inch fire,Smart Speakers
I enjoy using the tablet I use it when I am biking,
This really a nice tabletIt runs great and its thin and easy to hold,
This tablet is quick and as good as my iPad I use the tablet specifically for one aspect of my life and it performs great I am pleasantly surprised by its performance,
I have a  year old boy and  year old girl and  year old boy no cracks or broken yet yes they have dropped them no case but no cracks yet pretty amazing when they drop it on hard wood floors and still not broke,Smart Speakers
Wow Ive had quite a few different kindles over the years and Ive loved all of them But this kindle fire hd  is by far my favorite So glad my husband bought it for me the best purchase ever,Smart Speakers
the new sound and the faster speed plus other improvments are great,
Its perfect to see my tv series when i dont have my tv around It has a very good resolution quality,Smart Speakers
I bought the  to replace my old  I love the bigger screen,Smart Speakers
Freeze frequently No way to trouble shoot or repair it,Smart Speakers
I got myself  of these tablets and so far I love the way it works You can enlarge the print and change the lighting to make it easier to read The only thing with it is you must have an Amazon account to use it,Smart Speakers
This kindle rocks Tons of storage at an awesome price,Smart Speakers
bought it as a gift for my mother and she loves it,Smart Speakers
I love the fireit works great and the navigation through the Fire is user friendly too I think the  is the better buy for your money,
This tablet is very good especially considering the price also has memory slot to increase storage,
I bought this tablet over the holidays when it was on sale It has been a great tablet The battery life is great on these new models Also playing games everything moves smoothly since it has more ram The durability of the tablet is great This thing wont break if you drop it The only thing I dont like is the fire os You cant get everything you can get on the google store so not all apps are available,
I have had a few kindles in the past so this was nothing new for me but what I loved about this one is that the screen is big so when I am reading a book its a lot easier than when I had the first kindle screen I mostly use it just for the reading but being able to navigate the internet on it is great for when I want to look something up about the book real quick or if you want to search reviews on a book before purchasing I love it,
Purchase this tablet during the Christmas sale This tablet is a good tablet for a beginner Easy to use and shows movies and videos very well,
Great tablet for on the go Good size screen to watch movies or read book,
Bought it for a friend he likes itwould recommend it,Smart Speakers
This is a great tablet with great features I love my kindle,
Cant beat the price on this tablet Great for streaming or casual games,E-Book Readers
Great for reading and Netflix Fits nice in purse Good price,
Good value at a very affordable price Cant beat it,
Works great prety fast operating system dosent heat up,
We love this so much in our home We bought a super tough case and let our two and six year old use it They love watching their movies on it and playing different apps It is a really good value,Smart Speakers
My daughter loves her tablet I had to make sure I brought a case because it is very thin No problems and I can see everything she downloads,
Perfect for our needs and an on the go mini computer and ereader,Smart Speakers
Great tablet use it for reading and email Great price,
Nice little tablet Functional and easy to useFits the needs that I need to use it for,
Awesomeand repeat  times That should do it Blah,Smart Speakers
We have had no issues with this tablet Love itTY,
For the price its a bargain This is a perfect solution for a reader and simple browsing I use this at night before bed,Smart Speakers
My first tablet experience and its awesome I love being able to stream movies and have numerous apps at my fingertips,
Bought this for my wife and she loves it This was our third kindle over a period of many yearsCant go wrong for the price,Smart Speakers
Love this tablet Power lasts long Short charge time HD screen is really clear Only con is that there are some apps not available like Google play Very satified Have a gb card in mine  Plenty of space for downloads The camera has no flash and is not the best but I didnt buy this tablet for that High recommend the HD tablet gb amazon fire You want go wrong,
This tablet does all the things I really need I have it some thought before buying I don use most of the features a more expensive computertablet has Have been very happy with my purchase,
Got this for my wifes birthday She had an older model and wanted an upgrade She seems very happy with it and uses it every day,Smart Speakers
Very user friendlylong lasting batteryvery clear display,Smart Speakers
Easy to transfer my stuff from my old Kindle into this new one Love the price and how easy it is to use Great buy,
I held off getting a tablet and wish I had done it sooner The Amazon Fire  is great and easy to use,
I liked the screen size and easy to read books at night The battery has a long life The outer rcase could be stronger because concerned about durability,Smart Speakers
Works great for everything we want our daughter to do,
love it just like my other one just better since I already own a kindle I knew this was what I wanted Just needed a second one and a little bigger Always loved the service and help I get at BB so I knew I would purchase it there Found salesman to be knowledgeable and most helpful Thanks so much for your help and service,Smart Speakers
New Kindle replaced my old Kindle that had a lot of books To my surprise the book transfer worked well Seems to work surfing the net Music sound is only okay,Smart Speakers
Great little device that does almost everything a Tablet does I use it as my computer when I travel as well as a reader,
Has meet all my needs plus some Recommend you buy a good stylus pen at the same time,Smart Speakers
It fits just right in your hand Light weight Love it,Smart Speakers
I extremely happy with my purchase I like that the screen is just a little bigger and much faster,Smart Speakers
This tablet has been the best one for the price we have purchased  other tabs for our kids and they have all broke and ran super slow they love them would definitely recommend this to anyone who wants to save a buck but want quality,
I would recommend this product it is a good tablet to use have had no problems,
I love my Kindle fire Had a Kindle and it disappeared Enjoy not having to go to library for books I get a great selection of books every day,
Light weight and easy to use Very userfriendly Durable,Smart Speakers
For the price the tablet can not be beat I use this over my ipads that i have There is nothing i cant do with this tablet,
I recently upgraded to this tablet it is everything I wanted Highly recommend,
It was a good buy and tried this for a day It was fast and experience was good,Smart Speakers
This is a great tablet for the price I bought it to replace my iPad mini Great for ereading and general browsing,E-Book Readers
This was a birthday gift to my husband He really likes it and it does what he needs it to do,Smart Speakers
I have a kindle and wanted more options I love the bigger screen I find it easy to read It can have some reflection under lights but not much,Smart Speakers
Really enjoying my new tablet I like to travel and me and my family use it to play game and watch movies Just the right size to,
Liked this Kindle upgrade The color screen and backlights allowed for easy night use,Smart Speakers
I purchased the  inch device Also purchased black coverI played for it and asked if I could get it set up and was told it would be  more dollars I did not have  more dollars so I left the store with my kindle and had someone else set it up for free I was disappointed I had to get someone else to set up my kindle,Smart Speakers
My previous Kindle was dying and I wanted a new replacement fast I went to Amazon and while they had one it was back ordered a month Expecting to pay more I went to Best Buy and not only found it for the same price but even better it was available at my local store and I could pick it up the same day,Smart Speakers
I got this for my son to play games on soI could get my iPad back Personally I think its a great little tablet for kids and or for reading Other then that its not a high powered game playing tablet or anything to keep lots of storage on But it works for what its intended for andI have no problems,
Easy to use You cant beat it for the price you pay,
This Kindle is larger than my old one and book reading is much easier Some features I dont use so cant comment on them All in all I love itThe only drawback was that the store had no covers that fit this Kindle,Smart Speakers
Tablet is great and easy to use thankfully because its my st tablet,E-Book Readers
This is an item that is easy to use for novices My child uses it and has no issues,Smart Speakers
Easy to use Pretty user friendly It is good value for the price,
Was a present for my  year old grandson He was very pleased,Smart Speakers
The Kindle fits me to a T Very quick to start It shows how to get things done,Smart Speakers
Bought this for my wife for our anniversary she loves it,Smart Speakers
I love to read and this tablet work great for my needs,E-Book Readers
It is just an average tablet Bit slow but is a good option for people on budget,
